Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Cumulative Revenue
5729-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Small Business,Radhya Staples,Medium,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2013-02-16,10.07,15.98,5.91,39.0,633.86,3.0,12.88,632.88,4.0,663.16,1584.77
5109-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Small Business,Radhya Staples,Critical,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2013-02-16,1.87,8.12,6.25,45.0,53.98,8.0,0.33,53.52,2.83,59.21,1643.98
5148-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Consumer,Radhya Staples,Medium,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2013-02-16,18.38,29.17,10.79,20.0,75.44,10.0,0.85,84.33,6.27,74.23,1718.21
5144-1,2013-02-16,Tamara Dahlen,"61 York St, Sydney",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-02-20,1.94,3.08,1.14,21.0,157.0,3.0,12.82,147.68,0.99,147.04,1865.25
5281-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,2013-02-22,2.18,3.52,1.34,27.0,13.8,0.0,1.29,13.36,6.83,14.25,1879.5
5420-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,Regular Air,2013-02-22,0.9,2.1,1.2,8.0,36.7,4.0,1.07,34.63,0.7,35.33,1914.83
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013-02-22,1.09,2.6,1.51,8.0,122.2,0.0,12.22,109.98,2.4,112.38,2027.21
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013-02-22,1.09,2.6,1.51,21.0,122.2,5.0,12.22,109.98,2.4,112.38,2139.59
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013-02-22,1.09,2.6,1.51,37.0,122.2,10.0,12.22,109.98,2.4,112.38,2251.9700000000003
5116-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2013-02-22,0.9,2.1,1.2,39.0,36.7,7.0,1.36,35.04,0.7,36.49,2288.46
5520-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,Smiths Bulldog Clip,Office Supplies,Small Box,Regular Air,2013-02-22,2.31,3.78,1.47,13.0,162.5,3.0,13.62,152.52,0.71,157.67,2446.13
5324-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Critical,Artisan 479 Labels,Technology,Small Box,Regular Air,2013-02-22,1.59,2.61,1.02,37.0,22.7,10.0,1.26,20.56,0.5,21.49,2467.62
5268-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.84,2.88,1.04,11.0,12.2,9.0,1.22,12.08,0.99,12.75,2480.37
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road , Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013-02-22,8.82,20.99,12.17,24.0,122.2,7.0,12.22,109.98,4.81,112.38,2592.75
5009-1,2013-02-18,Sean Wendt,"145 Ramsay St, Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-20,5.33,8.6,3.27,16.0,73.52,1.0,4.35,740.67,6.19,730.92,3323.67
5914-1,2013-02-18,Sean Wendt,"150 Ksan St, Haberfield",Sydney,NSW,Home Office,Aanya Zhang,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2013-02-20,3.4,5.4,2.0,43.0,66.04,8.0,4.64,62.96,7.78,62.47,3386.14
5459-1,2013-02-18,Sean Wendt,"145 Ramsay St, Haberfield",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan 478 Labels,Technology,Small Box,Regular Air,2013-02-20,3.14,4.91,1.77,24.0,73.5,8.0,4.69,74.97,0.5,75.63,3461.77
5905-1,2013-02-18,Sean Wendt,"145 Ramsay St, Haberfield",Sydney,NSW,Small Business,Phoebe Gour,High,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-20,0.93,1.6,0.67,34.0,72.54,4.0,4.35,68.19,1.29,71.38,3533.15
6048-1,2013-02-18,Sean Wendt,"145 Ramsay St, Haberfield",Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-20,2.5,5.68,3.18,39.0,130.24,8.0,4.0,129.34,3.6,142.08,3675.23
5242-1,2013-02-18,Sean Wendt,"145 Ramsay St, Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2013-02-20,0.24,1.26,1.02,8.0,79.72,10.0,4.38,74.98,0.7,87.58,3762.81
5034-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-22,5.19,12.98,7.79,16.0,225.32,10.0,2.24,221.2,3.14,233.76,3996.5699999999997
5025-1,2013-02-20,Giulietta Dortch,"180 High Street, Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013-02-22,1.09,1.68,0.59,39.0,55.44,7.0,2.22,53.22,1.0,54.22,4050.7899999999995
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.09,1.68,0.59,29.0,55.44,3.0,2.22,53.22,1.0,54.22,4105.009999999999
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,18.0,55.44,8.0,2.22,53.22,1.0,54.22,4159.23
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,34.0,55.44,10.0,2.22,53.22,1.0,54.22,4213.45
5298-1,2013-02-22,Gen Letin,"81 MacLeay St, Potts Point",Sydney,NSW,Consumer,Samantha Chairs,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Pack,Regular Air,2013-02-23,4.53,7.3,2.77,33.0,128.08,5.0,11.62,127.52,7.72,122.24,4335.69
5497-1,2013-02-23,Giulietta Weimer,"485 Crown St, Surry Hills",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Artisan 487 Labels,Furniture,Large Box,Regular Air,2013-02-23,2.29,3.69,1.4,7.0,41.2,2.0,0.0,42.3,0.5,43.8,4379.49
5406-1,2013-02-23,Sylvia Foulston,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Corporate,Tina Carlton,High,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Box,Regular Air,2013-02-23,4.79,11.97,7.18,19.0,129.52,9.0,10.69,121.69,5.81,223.29,4602.78
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St, Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-02-23,5.33,8.6,3.27,22.0,412.8,7.0,0.0,412.8,6.19,418.99,5021.7699999999995
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St, Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013-02-23,5.33,8.6,3.27,13.0,412.8,4.0,0.0,412.8,6.19,418.99,5440.759999999999
5374-1,2013-02-23,Giulietta Weimer,"48 Albion St, Surry Hills",Sydney,NSW,Corporate,Natasha Song,Not Specified,Apex Box Cutter Scissors,Technology,Medium Box,Express Air,2013-02-23,4.19,10.23,6.04,27.0,432.86,9.0,0.0,429.75,4.68,434.74,5875.499999999999
5806-1,2013-02-24,Sylvia Foulston,"152 Bunnerong Road, Eastgardens",Sydney,NSW,Consumer,Tina Carlton,High,"Angle-D Binders with Locking Rings, Label Holders",Technology,Small Box,Regular Air,2013-02-25,4.53,7.3,2.77,40.0,75.44,3.0,2.32,74.68,7.72,74.88,5950.379999999999
5616-1,2013-02-24,Dennis Kane,"148 Pitt Street, Sydney",Sydney,NSW,Small Business,Tina Carlton,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013-02-26,0.94,1.88,0.94,28.0,71.32,4.0,2.33,73.56,0.79,72.85,6023.23
5479-1,2013-02-25,Theone Pipen,"188 Pitt Street, Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Box,Regular Air,2013-02-26,2.26,3.58,1.32,27.0,136.32,0.0,8.95,122.69,5.47,126.75,6149.98
5604-1,2013-02-25,Katherine Ducich,"61A Bay Road, Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-27,5.33,8.6,3.27,14.0,211.42,8.0,8.14,193.78,6.19,213.39,6363.37
5290-1,2013-02-26,Natalie Webber,"98-104 Parramatta Rd, Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Furniture,Small Pack,Regular Air,2013-02-26,1.87,8.12,6.25,37.0,300.44,9.0,0.0,300.44,2.83,303.27,6666.639999999999
5092-1,2013-02-26,Natalie Webber,"98-104 Parramatta Rd, Camperdown",Sydney,NSW,Home Office,Phoebe Gour,High,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2013-02-26,3.84,6.3,2.46,38.0,133.48,4.0,12.35,127.73,0.5,112.29,6778.929999999999
5076-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Home Office,Yvette Biti,Critical,Artisan Reinforcements for Hole-Punch Pages,Office Supplies,Wrap Bag,Regular Air,2013-03-10,1.19,1.98,0.79,43.0,58.0,1.0,3.42,53.58,4.77,54.28,6833.209999999999
5129-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Home Office,Yvette Biti,Low,Beekin 105-Key Black Keyboard,Furniture,Small Pack,Regular Air,2013-03-10,6.39,19.98,13.59,46.0,136.92,3.0,8.32,123.74,4.0,122.04,6955.249999999999
5896-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,2013-03-10,0.24,1.26,1.02,19.0,57.0,7.0,3.42,53.58,0.7,46.28,7001.529999999999
5036-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013-03-10,0.71,1.14,0.43,14.0,57.0,2.0,3.42,53.58,0.7,54.28,7055.809999999999
5456-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Small Business,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Small Box,Express Air,2013-03-10,1.59,2.61,1.02,17.0,5.54,4.0,0.0,6.44,0.5,6.04,7061.8499999999985
5272-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Consumer,Yvette Biti,High,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-03-10,3.65,5.98,2.33,42.0,183.88,10.0,38.22,184.02,1.49,173.22,7235.069999999999
5036-1,2013-03-07,Sean ODonnell,"541 Church St , Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013-03-10,0.71,1.14,0.43,14.0,57.0,0.0,3.42,53.58,0.7,54.28,7289.3499999999985
5037-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013-03-13,3.42,8.34,4.92,32.0,133.44,8.0,4.0,129.44,2.64,132.08,7421.4299999999985
5198-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Consumer,Stevie Bacata,Low,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,2013-03-13,2.18,3.52,1.34,11.0,53.32,0.0,4.23,51.29,6.83,53.0,7474.4299999999985
5257-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Home Office,Stevie Bacata,Low,Artisan Hanging File Binders,Technology,Small Box,Express Air,2013-03-13,3.65,5.98,2.33,46.0,133.44,10.0,4.0,129.44,1.49,132.09,7606.519999999999
5691-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Corporate,Stevie Bacata,High,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2013-03-13,8.31,15.98,7.67,43.0,131.04,8.0,3.57,127.42,6.5,126.73,7733.249999999998
5037-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013-03-13,2.5,5.68,3.18,50.0,133.44,9.0,4.0,129.44,3.6,132.08,7865.329999999998
5286-1,2013-03-11,Art Foster,"Westfield Parramatta, Parramatta",Sydney,NSW,Corporate,Stevie Bacata,Low,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2013-03-13,3.4,5.4,2.0,19.0,133.94,0.0,4.6,134.94,7.78,141.66,8006.989999999998
5314-1,2013-03-11,Art Foster,"1 John Street, Waterloo",Sydney,NSW,Home Office,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Pack,Regular Air,2013-03-13,1.84,2.88,1.04,23.0,29.76,1.0,0.2,28.16,0.99,20.46,8027.449999999998
5394-1,2013-03-13,Darren Powers,"120 Hardware St, Melbourne",Melbourne,VIC,Small Business,Yvette Biti,Low,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-03-13,3.75,7.08,3.33,28.0,126.88,9.0,6.09,221.13,2.35,227.63,8255.079999999998
5958-2,2013-03-13,Miran Jacobs,"224A Gertrude St, Fitzroy",Melbourne,VIC,Corporate,Connor Betts,High,Barrel Sharpener,Office Supplies,Small Box,Regular Air,2013-03-13,1.46,3.57,2.11,24.0,63.96,7.0,0.86,63.56,4.17,64.53,8319.609999999999
5782-1,2013-03-13,Darren Powers,"120 Hardware St, Melbourne",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan 487 Labels,Office Supplies,Small Pack,Regular Air,2013-03-13,2.29,3.69,1.4,6.0,59.6,0.0,0.8,59.96,0.5,60.4,8380.009999999998
5039-1,2013-03-15,Michael Grace,"402 Argyle St, Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013-03-16,4.59,7.28,2.69,37.0,160.16,4.0,1.6,158.56,11.15,169.71,8549.719999999998
5244-1,2013-03-15,Michael Grace,"402 Argyle St, Moss Vale",Sydney,NSW,Small Business,Natasha Song,High,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Wrap Bag,Regular Air,2013-03-16,4.46,10.89,6.43,7.0,320.64,2.0,3.63,325.75,4.5,339.25,8888.969999999998
5953-1,2013-03-15,Michael Grace,"402 Argyle St, Moss Vale",Sydney,NSW,Consumer,Natasha Song,Not Specified,Smiths Fold Paper Clips,Office Supplies,Wrap Bag,Regular Air,2013-03-16,1.6,2.62,1.02,47.0,94.12,4.0,1.87,92.13,0.8,99.61,8988.579999999998
5148-1,2013-03-15,Michael Grace,"402 Argyle St, Moss Vale",Sydney,NSW,Corporate,Natasha Song,Medium,Binder Posts,Technology,Small Box,Regular Air,2013-03-16,3.5,5.74,2.24,39.0,134.04,5.0,1.47,122.83,5.01,132.05,9120.629999999997
5294-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,Low,Artisan Non-Stick Binders,Office Supplies,Small Box,Regular Air,2013-03-20,2.74,4.49,1.75,34.0,130.56,3.0,9.06,127.22,1.49,128.54,9249.169999999998
5929-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan 481 Labels,Technology,Small Box,Regular Air,2013-03-20,1.94,3.08,1.14,47.0,136.32,0.0,9.63,124.75,0.99,124.56,9373.729999999998
5588-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Express Air,2013-03-20,1.05,1.95,0.9,4.0,136.32,3.0,9.56,122.6,1.63,126.55,9500.279999999997
5038-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013-03-20,3.52,5.68,2.16,34.0,139.24,2.0,9.68,128.54,1.39,129.4,9629.679999999997
5696-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Express Air,2013-03-20,4.46,10.89,6.43,1.0,136.02,3.0,9.26,126.66,4.5,126.85,9756.529999999997
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013-03-20,1.3,2.88,1.58,32.0,138.24,8.0,9.68,128.56,1.01,129.57,9886.099999999997
5108-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Steady Liquid Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-03-20,3.47,6.68,3.21,23.0,136.04,2.0,9.26,127.88,1.5,129.57,10015.669999999996
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013-03-20,1.3,2.88,1.58,22.0,138.24,2.0,9.68,128.56,1.01,129.57,10145.239999999996
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013-03-20,1.3,2.88,1.58,8.0,138.24,5.0,9.68,128.56,1.01,129.57,10274.809999999996
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013-03-20,1.3,2.88,1.58,46.0,138.24,7.0,9.68,128.56,1.01,129.57,10404.379999999996
5178-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Apex Elite Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-03-20,3.42,8.34,4.92,39.0,136.02,5.0,9.26,124.4,2.64,126.85,10531.229999999996
5859-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street, Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Artisan Durable Poly Binders,Office Supplies,Small Box,Express Air,2013-03-20,3.37,5.53,2.16,50.0,137.24,7.0,9.68,128.64,6.98,129.41,10660.639999999996
5565-1,2013-03-17,Erica Smith,"38/133-145 Castlereagh St, Sydney",Sydney,NSW,Home Office,Natasha Song,Low,OIC Thumb-Tacks,Technology,Small Box,Regular Air,2013-03-17,0.71,1.14,0.43,6.0,46.25,10.0,1.62,42.45,0.7,43.12,10703.759999999997
5194-1,2013-03-18,Ben Wallace,"120 Hardware St, Melbourne",Melbourne,VIC,Home Office,Connor Betts,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-03-20,4.53,7.3,2.77,16.0,369.2,2.0,3.79,346.25,7.72,343.35,11047.109999999997
5955-1,2013-03-21,Thais Sissman,"53-55 Liverpool St, Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Alto Memo Cubes,Technology,Small Box,Express Air,2013-03-28,3.32,5.18,1.86,40.0,58.02,4.0,2.56,55.06,2.04,56.12,11103.229999999998
5724-1,2013-03-21,Thais Sissman,"53-55 Liverpool St, Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,Artisan 474 Labels,Technology,Medium Box,Regular Air,2013-03-28,1.84,2.88,1.04,25.0,23.36,5.0,2.2,22.26,0.99,22.19,11125.419999999998
5596-1,2013-03-21,Thais Sissman,"53-55 Liverpool St, Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Colored Envelopes,Office Supplies,Small Pack,Regular Air,2013-03-28,2.25,3.69,1.44,22.0,77.6,7.0,2.4,74.9,2.5,70.4,11195.819999999998
5906-1,2013-03-21,Thaas Sissman,"38/133-145 Castlereagh St, Sydney",Sydney,NSW,Corporate,Natasha Song,High,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2013-03-28,2.45,3.89,1.44,2.0,63.06,8.0,2.64,62.39,7.01,63.39,11259.209999999997
5042-1,2013-03-23,Aaron Smayling,"1737 Botany Rd, Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2013-03-26,0.87,1.81,0.94,30.0,61.1,3.0,2.34,58.66,0.75,61.51,11320.719999999998
5696-1,2013-03-23,Aaron Smayling,"1737 Botany Rd, Banksmeadow",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2013-03-26,4.53,7.3,2.77,12.0,256.0,10.0,2.66,256.08,7.72,268.58,11589.299999999997
